positive_quantile,negative_quantile,tau_positive,tau_negative,auroc,fpr95
0.3,0.3,0.7050841450691223,-1.2586795091629028,1.0,0.0
0.3,0.4,0.7050841450691223,-1.1609752178192139,1.0,0.0
0.3,0.5,0.7050841450691223,-1.070592999458313,1.0,0.0
0.3,0.6,0.7050841450691223,-0.9861080646514893,1.0,0.0
0.3,0.7,0.7050841450691223,-0.9043754935264587,1.0,0.0
0.4,0.3,0.7705442309379578,-1.2586795091629028,1.0,0.0
0.4,0.4,0.7705442309379578,-1.1609752178192139,1.0,0.0
0.4,0.5,0.7705442309379578,-1.070592999458313,1.0,0.0
0.4,0.6,0.7705442309379578,-0.9861080646514893,1.0,0.0
0.4,0.7,0.7705442309379578,-0.9043754935264587,1.0,0.0
0.5,0.3,0.8327638506889343,-1.2586795091629028,1.0,0.0
0.5,0.4,0.8327638506889343,-1.1609752178192139,1.0,0.0
0.5,0.5,0.8327638506889343,-1.070592999458313,1.0,0.0
0.5,0.6,0.8327638506889343,-0.9861080646514893,1.0,0.0
0.5,0.7,0.8327638506889343,-0.9043754935264587,1.0,0.0
0.6,0.3,0.8956518769264221,-1.2586795091629028,1.0,0.0
0.6,0.4,0.8956518769264221,-1.1609752178192139,1.0,0.0
0.6,0.5,0.8956518769264221,-1.070592999458313,1.0,0.0
0.6,0.6,0.8956518769264221,-0.9861080646514893,1.0,0.0
0.6,0.7,0.8956518769264221,-0.9043754935264587,1.0,0.0
0.7,0.3,0.96653151512146,-1.2586795091629028,1.0,0.0
0.7,0.4,0.96653151512146,-1.1609752178192139,1.0,0.0
0.7,0.5,0.96653151512146,-1.070592999458313,1.0,0.0
0.7,0.6,0.96653151512146,-0.9861080646514893,1.0,0.0
0.7,0.7,0.96653151512146,-0.9043754935264587,1.0,0.0
